Account,Branch,AccountType,Status,Balance,SnapshotDate
AC-1117,Dunmore,CLIENT,OPEN,32061.40,2026-03-31
AC-1006,Carlton,CLIENT,OPEN,-2431.55,2026-03-31
AC-1309,Belmore,HOUSE,OPEN,77224.00,2026-03-31
AC-1107,Eastgate,CLIENT,OPEN,9042.55,2026-03-31
AC-1307,Dunmore,HOUSE,OPEN,271980.35,2026-03-31
AC-1211,Carlton,CLIENT,CLOSED,61044.20,2026-03-31
AC-1205,Dunmore,HOUSE,CLOSED,77230.00,2026-03-31
AC-1016,Ashfield,CLIENT,OPEN,60250.00,2026-03-31
AC-1032,Dunmore,CLIENT,RESTRICTED,8990.40,2026-03-31
AC-1133,Eastgate,CLIENT,OPEN,75899.60,2026-03-31
AC-1010,Dunmore,CLIENT,RESTRICTED,pending,2026-03-31
AC-1028,Carlton,CLIENT,OPEN,15420.75,2026-03-31
AC-1147,Belmore,CLIENT,OPEN,265389.55,2026-03-31
AC-1141,Eastgate,CLIENT,OPEN,159302.90,2026-03-31
AC-1209,Dunmore,CLIENT,CLOSED,,2026-03-31
AC-1305,Ashfield,HOUSE,RESTRICTED,3120.00,2026-03-31
AC-1022,Dunmore,CLIENT,OPEN,77224.00,2026-03-31
AC-1004,Carlton,CLIENT,RESTRICTED,0.00,2026-03-31
AC-1207,Fairmount,CLIENT,CLOSED,9750.00,2026-03-31
AC-1012,Ashfield,CLIENT,OPEN,9750.00,2026-03-31
AC-1032,Dunmore,CLIENT,OPEN,8990.40,2026-03-31
AC-1213,Carlton,CLIENT,CLOSED,1000.00,2026-03-31
AC-1000,Dunmore,CLIENT,OPEN,1000.00,2026-03-31
AC-1109,Ashfield,CLIENT,OPEN,11378.20,2026-03-31
AC-1030,Fairmount,CLIENT,OPEN,22100.00,2026-03-31
AC-1121,Carlton,CLIENT,RESTRICTED,44192.80,2026-03-31
AC-1145,Belmore,CLIENT,RESTRICTED,201174.00,2026-03-31
AC-1129,Eastgate,CLIENT,RESTRICTED,64716.90,2026-03-31
AC-1032,Fairmount,CLIENT,OPEN,8990.40,2026-03-31
AC-1115,Eastgate,CLIENT,OPEN,27135.65,2026-03-31
AC-1002,Fairmount,CLIENT,OPEN,999.99,2026-03-31
AC-1028,Eastgate,CLIENT,OPEN,15420.75,2026-03-31
AC-1123,Belmore,CLIENT,OPEN,47628.45,2026-03-31
AC-1137,Carlton,CLIENT,RESTRICTED,98721.80,2026-03-31
AC-1125,Belmore,CLIENT,OPEN,51304.70,2026-03-31
AC-1103,Ashfield,CLIENT,OPEN,3826.40,2026-03-31
AC-1101,Belmore,CLIENT,OPEN,1450.75,2026-03-31
AC-1008,Carlton,CLIENT,OPEN,,2026-03-31
AC-1018,Belmore,CLIENT,RESTRICTED,76000.00,2026-03-31
AC-1149,Eastgate,CLIENT,OPEN,349025.10,2026-03-31
AC-1139,Dunmore,CLIENT,OPEN,124057.35,2026-03-31
AC-1131,Eastgate,CLIENT,OPEN,72052.25,2026-03-31
AC-1026,Fairmount,CLIENT,OPEN,412880.00,2026-03-31
AC-1143,Eastgate,CLIENT,OPEN,186648.45,2026-03-31
AC-1014,Dunmore,CLIENT,OPEN,48500.00,2026-03-31
AC-1203,Eastgate,CLIENT,CLOSED,205400.55,2026-03-31
AC-1105,Dunmore,CLIENT,RESTRICTED,7213.10,2026-03-31
AC-1119,Carlton,CLIENT,OPEN,38847.15,2026-03-31
AC-1127,Belmore,CLIENT,OPEN,59080.35,2026-03-31
AC-1024,Ashfield,CLIENT,OPEN,190000.00,2026-03-31
AC-1303,Dunmore,HOUSE,OPEN,48500.00,2026-03-31
AC-1135,Carlton,CLIENT,OPEN,83465.15,2026-03-31
AC-1113,Fairmount,CLIENT,RESTRICTED,20489.30,2026-03-31
AC-1111,Carlton,CLIENT,OPEN,15624.05,2026-03-31
AC-1030,Dunmore,CLIENT,RESTRICTED,22150.00,2026-03-31
AC-1201,Carlton,CLIENT,CLOSED,18320.00,2026-03-31
AC-1301,Belmore,HOUSE,OPEN,944150.00,2026-03-31
AC-1020,Carlton,CLIENT,OPEN,77230.00,2026-03-31
