Account,Branch,AccountType,Status,Balance,SnapshotDate
AC-1117,Dunmore,CLIENT,OPEN,32061.40,2026-03-31
AC-1006,Carlton,CLIENT,OPEN,-2431.55,2026-03-31
AC-1309,Belmore,HOUSE,OPEN,77224.00,2026-03-31
AC-1107,Eastgate,CLIENT,OPEN,9042.55,2026-03-31
AC-1307,Dunmore,HOUSE,OPEN,271980.35,2026-03-31
AC-1211,Carlton,CLIENT,CLOSED,61044.20,2026-03-31
AC-1205,Dunmore,HOUSE,CLOSED,77230.00,2026-03-31
AC-1016,Ashfield,CLIENT,OPEN,60250.00,2026-03-31
AC-1032,Dunmore,CLIENT,RESTRICTED,8990.40,2026-03-31
AC-1133,Eastgate,CLIENT,OPEN,75899.60,2026-03-31
AC-1010,Dunmore,CLIENT,RESTRICTED,pending,2026-03-31
AC-1028,Carlton,CLIENT,OPEN,15420.75,2026-03-31
