quote_date,currency,usd_per_unit
2021-01-04,AUD,0.67545920
2021-01-04,BRL,0.19680300
2021-01-04,CAD,0.74381730
2021-01-04,CHF,1.07894610
2021-01-04,EUR,1.09312480
2021-01-04,GBP,1.24662590
2021-01-04,INR,0.01222221
2021-01-04,JPY,0.00761390
2021-01-04,MXN,0.05616732
2021-01-04,NOK,0.09359614
2021-01-04,SEK,0.09497152
2021-01-04,SGD,0.74420960
2021-01-04,TVR,0.00041908
2021-01-04,USD,1.00000000
2021-01-04,ZAR,0.05439774
2021-01-05,AUD,0.67640484
2021-01-05,BRL,0.19666524
2021-01-05,CAD,0.74240405
2021-01-05,CHF,1.07894610
2021-01-05,EUR,1.09214099
2021-01-05,GBP,1.24936848
2021-01-05,INR,0.01221610
2021-01-05,JPY,0.00760324
2021-01-05,MXN,0.05629650
2021-01-05,NOK,0.09352126
2021-01-05,SEK,0.09518046
2021-01-05,SGD,0.74391192
2021-01-05,TVR,0.00041820
2021-01-05,USD,1.00000000
2021-01-05,ZAR,0.05444670
2021-01-06,AUD,0.67599900
2021-01-06,BRL,0.19690124
2021-01-06,CAD,0.74062228
2021-01-06,CHF,1.08153557
2021-01-06,EUR,1.09170413
2021-01-06,GBP,1.25061785
2021-01-06,INR,0.01218922
2021-01-06,JPY,0.00760096
2021-01-06,MXN,0.05640346
2021-01-06,NOK,0.09333422
2021-01-06,SEK,0.09513287
2021-01-06,SGD,0.74279605
2021-01-06,TVR,0.00041853
2021-01-06,USD,1.00000000
2021-01-06,ZAR,0.05432692
2021-01-07,AUD,0.67667500
2021-01-07,BRL,0.19662558
2021-01-07,CAD,0.73884479
2021-01-07,CHF,1.07883173
2021-01-07,EUR,1.09192247
2021-01-07,GBP,1.25136822
2021-01-07,INR,0.01221482
2021-01-07,JPY,0.00760704
2021-01-07,MXN,0.05627373
2021-01-07,NOK,0.09313822
2021-01-07,SEK,0.09528508
2021-01-07,SGD,0.74257321
2021-01-07,TVR,0.00041849
2021-01-07,USD,1.00000000
2021-01-07,ZAR,0.05429432
2021-01-08,AUD,0.67755468
