plan_year,currency,usd_per_unit,approved_by
2022,AUD,0.69824793,Group FP&A
2022,BRL,0.20463133,Group FP&A
2022,CAD,0.78627047,Group FP&A
2022,CHF,1.07843947,Group FP&A
2022,EUR,1.13877218,Group FP&A
2022,GBP,1.25687105,Group FP&A
2022,INR,0.01246187,Group FP&A
2022,JPY,0.00765284,Group FP&A
2022,MXN,0.05701683,Group FP&A
2022,NOK,0.09852418,Group FP&A
2022,PLN,0.23868000,Group FP&A
2022,SEK,0.09617800,Group FP&A
2022,SGD,0.73688322,Group FP&A
2022,TVR,0.00044286,Group FP&A
2022,USD,1.02000000,Group FP&A
2022,ZAR,0.05345983,Group FP&A
2023,AUD,0.68212166,Group FP&A
2023,BRL,0.19924174,Group FP&A
2023,CAD,0.79275116,Group FP&A
2023,CHF,1.10256088,Group FP&A
2023,EUR,1.11637181,Group FP&A
2023,GBP,1.20474025,Group FP&A
2023,INR,0.01256961,Group FP&A
2023,JPY,0.00787032,Group FP&A
2023,MXN,0.05617056,Group FP&A
2023,NOK,0.09817543,Group FP&A
2023,PLN,0.23868000,Group FP&A
2023,SEK,0.09705069,Group FP&A
2023,SGD,0.75607134,Group FP&A
2023,TVR,0.00043108,Group FP&A
2023,USD,1.02000000,Group FP&A
2023,ZAR,0.05192201,Group FP&A
