Statement date,Charge type,Reference,Amount USD
2022-12-28,USD wire withdrawal fee,WIRE-2212-01,25.00
2023-01-14,USD wire withdrawal fee,WIRE-2301-01,25.00
2023-02-10,USD wire withdrawal fee,WIRE-2302-01,25.00
2023-03-23,USD wire withdrawal fee,WIRE-2303-01,25.00
2023-04-24,USD wire withdrawal fee,WIRE-2304-01,25.00
2023-04-29,USD wire withdrawal fee,WIRE-2304-02,25.00
2023-05-18,USD wire withdrawal fee,WIRE-2305-01,25.00
2023-05-25,USD wire withdrawal fee,WIRE-2305-02,25.00
2023-06-03,USD wire withdrawal fee,WIRE-2306-01,25.00
2023-06-10,USD wire withdrawal fee,WIRE-2306-02,25.00
2023-07-19,USD wire withdrawal fee,WIRE-2307-01,25.00
2023-08-14,USD wire withdrawal fee,WIRE-2308-01,25.00
2023-08-26,USD wire withdrawal fee,WIRE-2308-02,25.00
