record_id,class,created_at,legal_hold
REC-00001,support_corr,2025-11-21T02:31:05+00:00,false
REC-00002,audit_trail,2024-12-08T01:34:15+00:00,false
REC-00003,audit_trail,2019-11-15T12:06:25+02:00,false
REC-00004,session_replay,2024-08-21T12:40:02+00:00,true
REC-00005,hr_applicant,2023-07-03T02:35:45+00:00,false
REC-00006,txn_log,2026-02-27T10:22:47+00:00,false
REC-00007,audit_trail,2020-07-01T06:27:49+00:00,false
REC-00008,txn_log,2026-01-28T18:29:20+05:30,false
REC-00009,txn_log,2026-02-17T14:34:15+05:30,false
REC-00010,txn_log,2026-03-19T07:08:44+00:00,false
REC-00011,txn_log,2026-03-23T18:34:07+00:00,false
REC-00012,support_corr,2023-09-08T23:55:55+00:00,false
REC-00013,txn_log,2025-09-07T03:30:43+00:00,false
REC-00014,support_corr,2023-06-16T06:13:44+00:00,false
REC-00015,marketing_contact,2025-01-13T09:40:31+00:00,false
REC-00016,audit_trail,2022-08-20T04:22:11+02:00,false
REC-00017,hr_applicant,2023-07-25T05:17:57+00:00,true
REC-00018,support_corr,2025-07-05T08:32:37+02:00,false
REC-00019,txn_log,2025-12-04T15:05:11+00:00,false
REC-00020,session_replay,2026-03-24T14:56:35+00:00,false
REC-00021,hr_applicant,2024-11-22T08:57:43-05:00,false
REC-00022,support_corr,2023-04-03T12:32:02+02:00,false
REC-00023,audit_trail,2020-03-27T20:22:04+09:00,false
REC-00024,session_replay,2024-10-08T02:28:00+05:30,false
REC-00025,txn_log,2026-01-31T03:25:06+05:30,false
REC-00026,support_corr,2024-10-07T23:03:00-08:00,false
REC-00027,support_corr,2023-08-11T23:07:39+02:00,false
REC-00028,session_replay,2023-11-19T05:34:22+09:00,false
REC-00029,session_replay,2025-04-14T20:24:30+05:30,false
REC-00030,hr_applicant,2024-04-17T14:11:26+00:00,false
REC-00031,txn_log,2026-02-19T23:10:17+02:00,false
REC-00032,txn_log,2025-12-31T21:05:00-05:00,false
REC-00033,hr_applicant,2024-12-03T05:45:21+00:00,false
REC-00034,support_corr,2023-06-26T19:39:22+00:00,false
REC-00035,hr_applicant,2024-03-31T21:26:00-08:00,false
REC-00036,txn_log,2026-02-10T02:00:49-08:00,false
REC-00037,txn_log,2026-02-10T21:43:57+00:00,false
REC-00038,support_corr,2024-04-25T14:57:04-05:00,false
REC-00039,txn_log,2025-06-23T18:41:50+02:00,false
